,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel,learning_rate,max_features,n_estimators,n_neighbors,priors,weights
155,BAG,0.7396449704142011,0.756199136438307,0.7745664739884394,0.014314178197588545,,,,,0.9,60,,,
8,NN,0.7315634218289087,0.7539812831019067,0.7745664739884394,0.017603685870065205,,,,,,,20,,distance
153,BAG,0.7337278106508875,0.7507623720718134,0.7743732590529248,0.017232704611790307,,,,,0.9,25,,,
79,SVC,0.7300215982721382,0.753303152154445,0.7740492170022373,0.01806339449907558,10000.0,1e-07,rbf,,,,,,
71,SVC,0.7300215982721382,0.7527693678033228,0.7740492170022373,0.01800414573252805,1000,1e-06,rbf,,,,,,
161,BAG,0.7411764705882353,0.7598404404741839,0.7736389684813754,0.013692037488316683,,,,,0.8,30,,,
165,BAG,0.7188405797101448,0.7548102292039199,0.7732558139534884,0.025437165241811704,,,,,0.5,15,,,
154,BAG,0.738095238095238,0.7558768234930153,0.7701149425287357,0.01330995826180308,,,,,0.9,30,,,
166,BAG,0.7030303030303029,0.7308245383737528,0.7696793002915452,0.02831105373122632,,,,,0.5,20,,,
169,BAG,0.7217125382262995,0.7380059666559543,0.7655786350148368,0.019603988572076222,,,,,0.5,60,,,
102,GB,0.7234042553191489,0.7458463967323891,0.7596439169139465,0.016007818408636215,,,,0.1,,30,,,
174,BAG,0.7202380952380951,0.7375964784335824,0.7588235294117648,0.0159882013873209,,,,,0.2,25,,,
152,BAG,0.7331378299120235,0.7482994374230457,0.7565982404692081,0.010736892154936032,,,,,0.9,20,,,
159,BAG,0.7440476190476191,0.7511986086159351,0.7551622418879056,0.0050664346662023345,,,,,0.8,20,,,
168,BAG,0.7337278106508875,0.7403707150340338,0.7514792899408284,0.007905079133680857,,,,,0.5,30,,,
150,BAG,0.7241379310344828,0.732525376186936,0.7477744807121661,0.010800722110964299,,,,,0.9,10,,,
176,BAG,0.7090909090909091,0.7208555684389205,0.7400611620795107,0.01369464055520391,,,,,0.2,60,,,
92,GB,0.7147147147147147,0.7295716657734461,0.738095238095238,0.010543433440011766,,,,0.1,sqrt,50,,,
7,NN,0.7087087087087085,0.7229079988152532,0.7349397590361446,0.010817906133629296,,,,,,,20,,uniform
177,BAG,0.7173252279635258,0.721698283215397,0.7272727272727272,0.004148950624198214,,,,,0.2,100,,,
171,BAG,0.6455696202531646,0.6751385311212416,0.7234042553191489,0.034416427526029206,,,,,0.2,10,,,
164,BAG,0.6909090909090908,0.7067970832346709,0.7214076246334312,0.01248369738195932,,,,,0.5,10,,,
91,GB,0.6750788643533123,0.7012084973516856,0.718266253869969,0.018761873759806338,,,,0.1,sqrt,40,,,
183,BAG,0.6384364820846905,0.6805766577477336,0.7155963302752294,0.0319002269257786,,,,,0.1,60,,,
157,BAG,0.6966966966966966,0.7077121334886339,0.7155963302752294,0.008027142925889666,,,,,0.8,10,,,
173,BAG,0.6474358974358975,0.6814075071026814,0.709480122324159,0.025670606564650415,,,,,0.2,20,,,
82,RF,0.6363636363636364,0.6791024925994251,0.7076923076923076,0.030790597724263617,,,,,,15,,,
101,GB,0.6708463949843261,0.6910070532915361,0.7062499999999999,0.014865883257822109,,,,0.1,,20,,,
181,BAG,0.6453674121405751,0.674496853411874,0.7051671732522796,0.024437451958387976,,,,,0.1,25,,,
184,BAG,0.6516129032258066,0.6775105989343094,0.7037037037037036,0.021267006112629997,,,,,0.1,100,,,
84,RF,0.6339869281045751,0.6757414200663941,0.7033639143730888,0.030034164704202206,,,,,,25,,,
